,creeps,xp,gold
48,"{'10-20': 6.199999999999999, '0-10': 5.4}","{'10-20': 392.79999999999995, '0-10': 406.8}","{'10-20': 310.8, '0-10': 220.5}"
49,"{'10-20': 7.3, '0-10': 6.6}","{'10-20': 526.6, '0-10': 413.9}","{'10-20': 358.2, '0-10': 253.3}"
50,"{'10-20': 6.7, '0-10': 6.800000000000001}","{'10-20': 464, '0-10': 420.5}","{'10-20': 356, '0-10': 258.7}"
51,"{'10-20': 4.1, '0-10': 6.7}","{'10-20': 407.2, '0-10': 479.5}","{'10-20': 379, '0-10': 346.8}"
52,"{'10-20': 0.7, '0-10': 0.6}","{'10-20': 304.5, '0-10': 239.29999999999998}","{'10-20': 292.4, '0-10': 304.6}"
53,"{'10-20': 8.2, '0-10': 6}","{'10-20': 662.5, '0-10': 447.40000000000003}","{'10-20': 561.8, '0-10': 365.59999999999997}"
54,"{'10-20': 1.4, '0-10': 0.4}","{'10-20': 557.5, '0-10': 388.1}","{'10-20': 590.4, '0-10': 361.70000000000005}"
55,"{'10-20': 6.7, '0-10': 6.8}","{'10-20': 388.2, '0-10': 429.1}","{'10-20': 284, '0-10': 272.9}"
56,"{'10-20': 7.8, '0-10': 8.1}","{'10-20': 621.5, '0-10': 466.8}","{'10-20': 688.1, '0-10': 337.8}"
57,"{'10-20': 10, '0-10': 9.399999999999999}","{'10-20': 586.0999999999999, '0-10': 481.70000000000005}","{'10-20': 376.5, '0-10': 281.9}"
58,"{'10-20': 7.699999999999999, '0-10': 5, '30-end': 7, '20-30': 9.3}","{'10-20': 577.4000000000001, '0-10': 375.4, '30-end': 778.8, '20-30': 607.2}","{'10-20': 347.1, '0-10': 276.1, '30-end': 489.4, '20-30': 474.29999999999995}"
59,"{'10-20': 0.4, '0-10': 0.8, '20-30': 1}","{'10-20': 498.70000000000005, '0-10': 289.20000000000005, '20-30': 226.60000000000002}","{'10-20': 463.9, '0-10': 253.1, '20-30': 199.5}"
60,"{'10-20': 1, '0-10': 0.2}","{'10-20': 518.7, '0-10': 390.6}","{'10-20': 473.09999999999997, '0-10': 400.9}"
61,"{'10-20': 7.1000000000000005, '0-10': 6.7, '30-end': 4.8, '20-30': 2.5999999999999996}","{'10-20': 509.4, '0-10': 454.1, '30-end': 578.6, '20-30': 439.7}","{'10-20': 329, '0-10': 247.89999999999998, '30-end': 368.6, '20-30': 271.6}"
62,"{'10-20': 7.1, '0-10': 7.7}","{'10-20': 448.5, '0-10': 516.6}","{'10-20': 466.09999999999997, '0-10': 399.9}"
63,"{'10-20': 1.2, '0-10': 1}","{'10-20': 261.7, '0-10': 304.4}","{'10-20': 330, '0-10': 231.4}"
64,"{'10-20': 0.8999999999999999, '0-10': 0.1}","{'10-20': 477.4, '0-10': 333}","{'10-20': 452.1, '0-10': 291.6}"
65,"{'10-20': 2.1, '0-10': 1.6}","{'10-20': 491.79999999999995, '0-10': 265.9}","{'10-20': 554.3, '0-10': 143.7}"
66,"{'10-20': 0.8999999999999999, '0-10': 0.4}","{'10-20': 348.1, '0-10': 285.6}","{'10-20': 365.6, '0-10': 219.1}"
67,"{'10-20': 0.6000000000000001, '0-10': 0.1}","{'10-20': 424.4, '0-10': 294.6}","{'10-20': 351.29999999999995, '0-10': 204.3}"
68,"{'10-20': 1.7000000000000002, '0-10': 1.5}","{'10-20': 344, '0-10': 262.9}","{'10-20': 246.4, '0-10': 168.60000000000002}"
69,"{'10-20': 1.1, '0-10': 0.6}","{'10-20': 202.39999999999998, '0-10': 293.7}","{'10-20': 257.2, '0-10': 212}"
70,"{'10-20': 0.5, '0-10': 0.5}","{'10-20': 428.20000000000005, '0-10': 282.1}","{'10-20': 338.8, '0-10': 172.7}"
71,"{'10-20': 7.699999999999999, '0-10': 5.9}","{'10-20': 463, '0-10': 228.7}","{'10-20': 369.4, '0-10': 222.39999999999998}"
72,"{'10-20': 8.9, '0-10': 6.800000000000001, '30-end': 7, '20-30': 8.4}","{'10-20': 576.4000000000001, '0-10': 430.6, '30-end': 838.8, '20-30': 601.9000000000001}","{'10-20': 412.9, '0-10': 236.60000000000002, '30-end': 527.4, '20-30': 417.1}"
73,"{'10-20': 3.9000000000000004, '0-10': 1.6}","{'10-20': 396.70000000000005, '0-10': 269.8}","{'10-20': 279.3, '0-10': 164}"
74,"{'10-20': 0.8, '0-10': 0.1}","{'10-20': 364.29999999999995, '0-10': 314.3}","{'10-20': 301, '0-10': 272.2}"
75,{'0-10': 0.2},{'0-10': 359.4},{'0-10': 315.5}
76,"{'10-20': 5.1, '0-10': 5.8}","{'10-20': 399.6, '0-10': 401.5}","{'10-20': 432.5, '0-10': 257.6}"
77,{'0-10': 0.3},{'0-10': 333.4},{'0-10': 272.6}
78,"{'10-20': 2.4, '0-10': 1.5, '20-30': 2.1}","{'10-20': 351.5, '0-10': 274.6, '20-30': 585}","{'10-20': 254.3, '0-10': 221.9, '20-30': 297.1}"
79,{'0-10': 1.2000000000000002},{'0-10': 411.79999999999995},{'0-10': 475.20000000000005}
80,"{'10-20': 7.2, '0-10': 6.9}","{'10-20': 528.3, '0-10': 410.20000000000005}","{'10-20': 348.8, '0-10': 241.10000000000002}"
81,"{'10-20': 6.4, '0-10': 6.1, '20-30': 6.8}","{'10-20': 480, '0-10': 410.3, '20-30': 615.1}","{'10-20': 422.70000000000005, '0-10': 244.5, '20-30': 412.4}"
82,"{'10-20': 6.9, '0-10': 7.5}","{'10-20': 479.8, '0-10': 434.2}","{'10-20': 406.5, '0-10': 295.6}"
83,"{'10-20': 0.2, '0-10': 0.3, '20-30': 0.7}","{'10-20': 457.5, '0-10': 301.70000000000005, '20-30': 552.8}","{'10-20': 380.9, '0-10': 244.5, '20-30': 346.3}"
84,"{'10-20': 6.800000000000001, '0-10': 7, '30-end': 3.1999999999999997, '20-30': 4.8}","{'10-20': 430.79999999999995, '0-10': 383, '30-end': 526.3333333333334, '20-30': 522.1}","{'10-20': 355.79999999999995, '0-10': 244, '30-end': 414.06666666666666, '20-30': 439.20000000000005}"
85,"{'10-20': 7.6, '0-10': 7.8}","{'10-20': 624.4000000000001, '0-10': 493.4}","{'10-20': 512, '0-10': 302.7}"
86,"{'10-20': 7.1, '0-10': 6.7}","{'10-20': 541.4, '0-10': 320.6}","{'10-20': 548.9, '0-10': 344.6}"
87,"{'10-20': 7.8, '0-10': 7.3, '20-30': 5.4}","{'10-20': 452.7, '0-10': 437.1, '20-30': 400.4}","{'10-20': 311.2, '0-10': 246.89999999999998, '20-30': 295.6}"
88,"{'10-20': 8, '0-10': 9, '30-end': 10.1, '20-30': 7.3}","{'10-20': 492.59999999999997, '0-10': 480.1, '30-end': 650.5, '20-30': 642.0999999999999}","{'10-20': 489.6, '0-10': 323.5, '30-end': 565.3, '20-30': 466.7}"
89,"{'10-20': 1.7, '0-10': 0}","{'10-20': 520.7, '0-10': 425.40000000000003}","{'10-20': 512.5, '0-10': 385.1}"
90,"{'10-20': 1, '0-10': 0.1}","{'10-20': 316.3, '0-10': 320.20000000000005}","{'10-20': 292.8, '0-10': 173.60000000000002}"
91,"{'10-20': 6.5, '0-10': 4.9}","{'10-20': 464.5, '0-10': 415.7}","{'10-20': 369.9, '0-10': 307.1}"
92,"{'10-20': 4.6, '0-10': 7.9}","{'10-20': 399.79999999999995, '0-10': 448.09999999999997}","{'10-20': 279.4, '0-10': 260.9}"
93,"{'10-20': 1.7000000000000002, '0-10': 1.3}","{'10-20': 272.70000000000005, '0-10': 249.6}","{'10-20': 258.20000000000005, '0-10': 186.2}"
94,"{'10-20': 7.3, '0-10': 4.8, '30-end': 5.2, '20-30': 4.5}","{'10-20': 433.9, '0-10': 347.79999999999995, '30-end': 483.8, '20-30': 433.8}","{'10-20': 359.2, '0-10': 262, '30-end': 341, '20-30': 413.5}"
95,"{'10-20': 2.2, '0-10': 1.7}","{'10-20': 241.9, '0-10': 296.9}","{'10-20': 212.3, '0-10': 222.60000000000002}"
96,"{'10-20': 0.8, '0-10': 0.4, '20-30': 0.4}","{'10-20': 233.10000000000002, '0-10': 304, '20-30': 543.2}","{'10-20': 283.2, '0-10': 204.4, '20-30': 301}"
